headline,date
Illinois “got into fiscal problems because of a Republican governor who was governor there” before Gov. J.B. Pritzker.," May 8, 2020"
Black cats in Vietnam are being killed and consumed as a COVID-19 cure.," May 8, 2020"
Georgia Gov. Brian Kemp “mandates restaurants reopen”," May 8, 2020"
Central Park hospital tents housed thousands of abused children released from underground captivity.," May 8, 2020"
“New autopsy reports suggest Jeffrey Epstein most likely died from COVID-19 complications.”," May 8, 2020"
Says Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.," May 8, 2020"
A photo shows Brian Kemp posing with Gregory McMichael.," May 8, 2020"
“Texas ranks 3rd highest among states for the number of people who have recovered from” the coronavirus.," May 8, 2020"
“New York is one of only 12 states where the average gallon of gas costs more than $2.00.”," May 8, 2020"
"North Carolina’s health department is telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive (protective equipment) from the state.”"," May 8, 2020"
Says Gov. Tony Evers “has never had a real job.”," May 8, 2020"
Says it’s illegal to hold an absentee-only election or mail ballots to every registered voter," May 8, 2020"
“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”," May 7, 2020"
"Under the mayor’s COVID-19 order, Kansas City “churchgoers must register with the government.”"," May 7, 2020"
Says the current survival rate for COVID-19 in the U.S. is “98.54%”," May 7, 2020"
“Immigrants make up a majority of essential workers in places like New York City.”," May 7, 2020"
"Media outlets reported that the same boy died 3 times from the coronavirus, in 3 countries."," May 7, 2020"
A photo shows Rob Cantrall at a recent Michigan protest.," May 7, 2020"
"Gas is under $1 in 13 states, but $2.27 in Pennsylvania, because of the governor."," May 7, 2020"
"Trump bailed out Wall Street, but not Main Street."," May 7, 2020"
"Prominent Democrats were born in April 1948, nine months after a UFO crashed near Roswell, N.M."," May 7, 2020"
Models projecting COVID-19 deaths “are talking about without mitigation.”," May 6, 2020"
We’ve still had more deaths to the flu this year than we've had COVID-19.," May 6, 2020"
"There was no real scientific basis for believing that social distancing would be necessary, since it had never been studied."," May 6, 2020"
Dr. Anthony Fauci has known for 15 years that chloroquine and … hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.”," May 6, 2020"
"“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”"," May 6, 2020"
Congressional candidate Chris Jacobs “voted against paid leave for COVID-19.”," May 6, 2020"
"“The flu killed 80,000 people in the U.S. last year”"," May 6, 2020"
"“The flu killed 80,000 Americans last year according to the CDC.”"," May 5, 2020"
“First volunteer in UK coronavirus vaccine trial has died.”," May 5, 2020"
Greta Thunberg “going on hunger strike until Trump is removed.”," May 5, 2020"
"“At the end of the year, we put into that federal pot $116 billion more than we take out,” while Kentucky “takes out $148 billion more than they put in.”"," May 5, 2020"
