date,text
08/04/2009 17:52,Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF
21/09/2009 15:27,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… https://t.co/dlCHrZjkhm"
25/06/2020 23:30,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P
10/09/2008 11:28,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… https://t.co/jqgV18kch4"
23/04/2020 17:58,Explain to me again why we need a vaccine @BorisJohnson @MattHancock #whereareallthesickpeople #PfizerBioNTech… https://t.co/KxbSRoBEHq
26/01/2020 21:43,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… https://t.co/EifsyQoeKN
10/06/2013 17:49,"it is a bit sad to claim the fame for success of #vaccination on patriotic competition between USA, Canada, UK and… https://t.co/IfMrAyGyTP"
25/03/2019 04:14,"There have not been many bright days in 2020 but here are some of the best 
1. #BidenHarris winning #Election2020… https://t.co/77u4f8XXfx"
30/10/2009 17:53,"Covid vaccine; You getting it?

 #CovidVaccine #covid19 #PfizerBioNTech #Moderna"
12/11/2012 04:18,"#CovidVaccine 

States will start getting #COVID19Vaccine Monday, #US says 
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w"
17/09/2009 16:45,"while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !
-
The first U… https://t.co/uQ3A2f7SVP"
31/08/2020 10:38,@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US… https://t.co/9xWmfU3LZj
21/03/2016 03:44,The agency also released new information for health care providers and for patients as the US shipped millions of d… https://t.co/sG6BtD7jD9
25/03/2019 04:14,For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech… https://t.co/ow0Pglkwte
13/01/2019 18:33,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… https://t.co/HiUVYJzOBY"
09/06/2009 13:53,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY"
25/10/2020 20:33,"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW"
22/05/2015 08:31,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F"
24/07/2012 08:18,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0
24/01/2010 04:43,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD"
10/10/2019 13:41,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine… https://t.co/GT9qVVNbKj
23/04/2012 12:18,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE
09/06/2009 13:53,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS"
16/03/2014 03:52,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa
10/11/2020 16:53,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!

#docnosofficial #covid19… https://t.co/qOd5TPLYvA"
16/01/2010 23:59,"No.1 of 2 done.

#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream poss… https://t.co/3KvJ7UP432"
17/09/2009 16:45,"Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w"
17/10/2011 19:03,"⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!
⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6"
29/07/2019 20:03,"Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d… https://t.co/yt3vn67mVg"
01/06/2011 17:10,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong… https://t.co/ldxQhN6uix
07/03/2009 20:39,"@ZubyMusic 6 deaths so far. 
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f"
30/03/2020 13:47,@sbnumb3 @nytimes Please don’t spread fake news! There is no evidence that these cases are linked to the… https://t.co/bMcAhIPR5g
29/01/2016 15:54,"#ICYMI The #FDA Authorized the #PfizerBioNTech #COVID19 #Vaccine for the United States last night

https://t.co/CtYGB3fNnE"
16/12/2016 20:29,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw
03/12/2009 12:03,Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX
22/06/2017 06:22,"An immigrant Muslim couple find the COVID-19 Vaccine. 

#CovidVaccine #PfizerBioNTech #Pfizervaccine #PfizerProud"
13/10/2020 15:21,"The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD"
23/12/2010 11:51,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦‍♂️"
31/01/2014 01:25,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE

#PfizerBioNTech 
#CovidVaccine 

https://t.co/xRaOiACZSD"
03/08/2016 20:11,@mirekR9 @sputnikvaccine @AstraZeneca check out table 23 of this and other tables too because it took the penny a w… https://t.co/5r6ibs8Jm8
03/08/2016 20:11,"@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects 

the #PfizerBioNTech a… https://t.co/IWELAATAmd"
31/01/2014 01:25,"FACT SHEET FOR RECIPIENTS AND CAREGIVERS

#PfizerBioNTech 
#CovidVaccine 

https://t.co/V0mn08VTwj"
20/05/2020 10:57,#CovidVaccine #Pfizer-BioNTech COVID-19 #PfizerBioNTech #COVID19 #CapeTown https://t.co/uCpwv0S4nl
09/06/2009 13:53,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/6379SZjNQi"
26/04/2009 07:56,"#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency use
https://t.co/VZ6bDPbbPG"
21/06/2012 01:41,"When The #CovidVaccine 
Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ☠️ As They Are Flocking… https://t.co/mGNvf2XT8i"
17/09/2020 10:03,@realDonaldTrump Dairy dose of dumbsville by #DonTheCon #GrifterInChief #TrumpForPrison #TrumpCrimeFamily #COVID… https://t.co/gyiCvTuMOP
30/09/2012 20:00,The US #FDA has approved two #coronavirus vaccines: #PfizerBioNTech &amp; #Moderna. Over 200 #vaccines are being develo… https://t.co/6lboJqT9mn
29/03/2013 13:30,"As @EMA_News gets set to approve #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile… https://t.co/uWiv1SypWg"
21/06/2012 01:41,"COVID-19: News and updates
public questioned whether he actually received the shot.
Video footage appeared to show… https://t.co/lBc2PJ2b9l"
09/11/2017 23:25,Tragedy. Another life taken by corporate greed and the evil pharmaceutical companies. #vaccination #vaccine… https://t.co/1YcShyQpR6
30/12/2013 08:51,"I’ve never been so excited to get a vaccine 💉💉💉

#CovidVaccine #PfizerBioNTech #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3"
14/10/2011 19:27,Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week . So much effort going on b… https://t.co/Wsaup80aFs
24/11/2009 18:02,"The first COVID-19 vaccine doses have arrived in Oregon.  

Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX"
12/08/2018 22:29,#Iran has told the World Health Organization it does not intend to import the #PfizerBioNTech Covid-19 #vaccine bec… https://t.co/sJM874Mkc7
02/08/2014 02:30,Concerned about the side effects of the #PfizerBioNTech #COVID19 vaccine?  Check out my recap 👇🏼 https://t.co/P6yfRwS3Fq
20/04/2010 04:22,"Such a great feeling. A big thank you to all the healthcare professionals; scientists, nurses, doctors, caregivers.… https://t.co/tR4DUVl5Ud"
27/01/2011 21:42,"Members of the @teamsters delivered the first #COVID19Vaccine this morning
#teamsters
#UPS
#COVID19 
#Pfizer… https://t.co/Ms3N1s9OES"
22/12/2018 06:43,Getting my first dose of the #PfizerBioNTech #CovidVaccine next weekend and seeing this #UNBOXING just made it so r… https://t.co/Y6Bqj5KRFR
03/01/2020 22:29,Will you be taking the COVID-19 vaccine once available to you? #COVID19 #Pfizer #BioNTech #vaccine #PfizerBioNTech… https://t.co/bl7IiCeCCU
06/10/2014 04:28,"@FarAndWide @erinotoole @MichelleRempel That Rempel-Trudeau exchange had to be seen to be believed. (I saw it, too)… https://t.co/6FAgcNZ1bL"
19/06/2020 23:58,#PfizerBioNTech New York state administered its first non-trial vaccine this morning to a health care worker. The P… https://t.co/FBY1lqLIM8
15/01/2018 22:24,"@CPHO_Canada #PfizerBioNTech = Female Sterilization 💥💥💥

#Pfizer =Untested No Liabilities 

#CrimesAgainstHumanity https://t.co/4TIvt3JEVn"
15/01/2018 22:24,@CPHO_Canada Key #crushCovid milestone achieved with shutting down &amp; #CoverUp of #PfizerBioNTech      untested No L… https://t.co/H5Sh5wspqs
19/12/2012 08:19,#INBOX | @GovParsonMO says shipments of the #PfizerBioNTech vaccine will continue to ship to Missouri’s 21 vaccinat… https://t.co/w5xqB5gbW3
15/12/2017 11:03,@NYGovCuomo @CMargaronis @pfizer @UPS ?? #PfizerBioNTech are Germany based. ?..lets just hope the small numbers are… https://t.co/WWk28dHogd
19/06/2020 23:58,"ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer… https://t.co/5JY1g7whhV"
06/10/2014 04:28,"@FarAndWide @erinotoole @MichelleRempel :: Screenshot #2 of that #QP exchange ::

Unfortunately, Hansard does not c… https://t.co/e4IVaggplj"
16/04/2009 18:40,@MeghanMcCain As a physician currently with covid I cried.  #VaccinesSaveLives #PfizerBioNTech
06/10/2014 04:28,"@dwain_campbell Unfortunately, Hansard does not capture all the aggro finger-pointing and desk-thumping that were/a… https://t.co/RbPKbFgPDE"
12/02/2019 19:37,"@CdnAdvocacy Hallo, the unroll you asked for: @CdnAdvocacy: 1- #UK #NHS #MHRA Updated #COVIDvaccine clinical guidel… https://t.co/GPDMc9exwV"
06/10/2014 04:28,"@fordnation Odd verb choice there, Doug.

You were on hand to observe -- to welcome, as Anita Anand put it -- under… https://t.co/mceUWV0ly4"
22/11/2016 21:13,"The first Ontarian was vaccinated just minutes later. A PSW, Anita Quidangen in Toronto.

#PfizerBioNTech… https://t.co/VX9cisW1kf"
15/01/2018 22:24,"@PattyHajdu Would  you take the vaccine?
Listen to the expert 💥💥

#PfizerBioNTech = Untested… https://t.co/ho7JOADrIV"
19/04/2010 18:44,"Over the weekend, the #FAA issued guidance for pilots following use of the new #PfizerBioNTech #vaccine for… https://t.co/xFOCcWw0Wj"
11/06/2012 13:50,#UgurSahin #ozlemtureci the #Muslim Scientists Husband-Wife are saving the world with their #PfizerBioNTech… https://t.co/g5zKRNrxMu
30/06/2015 01:09,Surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the… https://t.co/d5C5MbwsvB
06/10/2014 04:28,"@FarAndWide @erinotoole Or how about Erin O'Toole's hand-picked Health Critic, @MichelleRempel, going even further… https://t.co/355kTKmhGJ"
08/06/2009 12:38,"Where did the #WarpSpeed money go, if not to the covid pioneers #PfizerBioNTech and #Moderna? Asking for a friend - #GrifterTrump klan"
28/08/2017 07:03,"How the #PfizerBioNTech Vaccine Works?
This article made a detailed explanation.👇
https://t.co/srgcHyBLk4

#COVID19… https://t.co/t1nIsSQtTr"
08/08/2014 02:31,@SkyNews It is a new type of vaccine. That man is so daft it hurts my ears listening to him.  The biggest question… https://t.co/zhfsh0trOl
06/10/2014 04:28,"@theJagmeetSingh 🙋🏼‍♀️ Did you actually read the Global News article, Jagmeet?

This tweet -- embedded therein -- j… https://t.co/DS1age9lzt"
